,edgerlrt,edgerqlf,deseq2
ENSG00000170312,3.30359453977516,3.30343117414154,3.30520601878066
ENSG00000101680,2.12822068902691,2.13895825359396,2.12700669149738
ENSG00000128815,-2.32834711586214,-2.32515356034598,-2.32940146173676
ENSG00000129521,2.89384788729053,2.893885234849,2.89528536860482
ENSG00000225614,1.15392107940037,1.15417509713717,1.15503863739407
ENSG00000138363,1.08015595925761,1.08007787923198,1.080185353238
ENSG00000286722,-5.37443439344209,-5.26218083514682,-5.40337298563722
ENSG00000006704,1.3615563545398,1.36157629541003,1.36231669331281
ENSG00000006625,1.82427281791437,1.82402825841408,1.8249195851111
ENSG00000275216,3.79833848403315,3.80713151208138,3.80961778829913
ENSG00000105926,1.12133299769258,1.12103038505349,1.12137522683619
ENSG00000161940,-2.40938636248383,-2.40923478820084,-2.40920645305405
ENSG00000172296,-1.84527773618651,-1.84422448795888,-1.84423985743413
ENSG00000106688,-4.01128918071601,-4.00165123007618,-4.01154997393479
ENSG00000144278,-1.37654584118337,-1.35507252902155,-1.37358735044179
ENSG00000016391,-1.76216813218761,-1.75845902455335,-1.76491316939281
ENSG00000138160,3.749854275859,3.74902447043477,3.75041712867699
ENSG00000197540,-1.99755974161996,-1.99017124181282,-2.00225638344145
ENSG00000218052,-1.41326368822918,-1.40267222012663,-1.42603272271077
ENSG00000131759,-1.42079010287663,-1.42089969538867,-1.42047303080592
ENSG00000161640,-3.96233699346599,-3.94112006671453,-3.97825192975118
ENSG00000163251,-1.68284016336693,-1.68254842388395,-1.68335229424216
ENSG00000065665,1.05570721756268,1.05519352966414,1.05637914827839
ENSG00000116983,-2.18952687457239,-2.18819382417501,-2.19538979898633
ENSG00000068001,-1.63266170237336,-1.63269713829576,-1.63283291039882
ENSG00000183684,1.26213334234701,1.2620515617829,1.26229046294053
ENSG00000124766,1.70312361558267,1.70313503693869,1.70305781365209
ENSG00000171680,1.17327646199841,1.17326827155641,1.17312333741626
ENSG00000164736,-3.46622701757282,-3.4673562451885,-3.46841641891037
ENSG00000177575,-2.01859708521739,-2.01813423592627,-2.01925083080338
ENSG00000004799,-4.56804086002616,-4.56295127550125,-4.56754494902093
ENSG00000110660,1.33589071209913,1.33594309313084,1.33725111992049
ENSG00000069849,1.41208841772265,1.41211307000181,1.41261631968827
ENSG00000180139,-1.05185046801509,-1.04122685519722,-1.05664924403927
ENSG00000165105,-1.26010181314457,-1.25862742113564,-1.25954475917067
ENSG00000121152,4.22387107846251,4.22329964275123,4.22624824118637
ENSG00000213088,-4.08710701942476,-4.06690517652118,-4.08858917338579
ENSG00000119938,-1.71538116726008,-1.71171254071293,-1.71549519405235
ENSG00000213654,-1.69861232862151,-1.69830252642778,-1.69784517878375
ENSG00000162670,-2.58210722636473,-2.50845973983133,-2.60714755811346
ENSG00000145569,-2.95745970660293,-2.95707587882966,-2.95654652234932
ENSG00000178965,-4.3742827029196,-4.2418740997278,-4.39851411932543
ENSG00000013810,1.99104954028865,1.99104203487392,1.99160871948132
ENSG00000131771,-2.73296300188235,-2.71391263124364,-2.73136193102774
ENSG00000255468,-1.66496223252976,-1.67024490954958,-1.66533048594728
ENSG00000203760,2.85092618388802,2.85108752032778,2.85205746625259
ENSG00000136404,-2.34032502386797,-2.34646783206202,-2.34241334284808
ENSG00000112175,-4.04488940609732,-4.01113730351631,-4.04961815213268
ENSG00000160688,1.34574720543681,1.3454797634866,1.34611099215764
ENSG00000173641,-2.97346628550292,-2.97122096244676,-2.97535779131138
ENSG00000198624,-2.55362346748163,-2.55340662983703,-2.55342077405751
ENSG00000204882,-2.07693647831326,-2.06736402098288,-2.09038630856092
ENSG00000235576,-1.26707247167772,-1.25426714362567,-1.27517560751221
ENSG00000159596,1.13401090204233,1.13381180597407,1.13445826042813
ENSG00000285517,1.59760970196955,1.60966406796594,1.60320184552766
ENSG00000134398,-1.22814939049779,-1.18853077380309,-1.23334953291108
ENSG00000259417,-5.1995454391747,-5.16404588879144,-5.21490418990995
ENSG00000287625,1.67187908499811,1.67249409329044,1.68001061958445
ENSG00000166508,2.00307327931018,2.00303406097503,2.00359437863463
ENSG00000136235,1.11421959825355,1.11424207538896,1.11459586525288
ENSG00000225431,-2.63825145235686,-2.61711466795285,-2.64503362716242
ENSG00000269155,-1.57098073865317,-1.5517581515982,-1.58009765308324
ENSG00000166965,1.6554610038987,1.65522030630106,1.65596719085004
ENSG00000127561,1.57665762943253,1.5774151694488,1.57872288346172
ENSG00000168004,-3.53122805754958,-3.45229624836474,-3.55341412689522
ENSG00000164398,-1.25350326273231,-1.22224974724847,-1.26265772214064
ENSG00000139597,-1.74619770696632,-1.74707825714851,-1.74628536039447
ENSG00000144218,-4.0960438487748,-4.07866712135633,-4.09895854399764
