,edgerlrt,edger,deseq2
ENSG00000144749,-1.54909929590414,-1.54904251383428,-1.57304386908019
ENSG00000115041,-1.48372210731699,-1.4827588175936,-1.50679379371834
ENSG00000101489,2.97358410379234,2.97484881766463,2.95481821851803
ENSG00000123119,-2.13059136611474,-2.12843705441496,-2.15582901842379
ENSG00000250510,1.49587477897032,1.49515102330938,1.47280556443294
ENSG00000272902,-1.64003820081165,-1.64463720679834,-1.66603593124623
ENSG00000198889,-1.81256193096636,-1.72770741248247,-1.85163830666184
ENSG00000137225,1.68654988803772,1.68303470187605,1.67480950515699
ENSG00000178602,-2.52418188921606,-2.50626606247224,-2.54799164371754
ENSG00000009950,1.59670419937808,1.59694580771957,1.57250237563904
ENSG00000111087,-3.12821923530439,-3.01803791651214,-3.17100106043692
ENSG00000153253,-2.88070210232158,-2.72150752971302,-2.92037595800366
ENSG00000160183,-1.80312232549993,-1.78883822468387,-1.82730317212041
ENSG00000113924,-3.34636591304159,-3.32498668007363,-3.37045305067261
ENSG00000162383,-2.79298616731542,-2.70132317486511,-2.8419259055838
ENSG00000257702,1.47574888905462,1.47673003569312,1.45259865476629
ENSG00000260997,2.37958780366928,2.39411483668333,2.36361183815321
ENSG00000109738,2.05009670919089,2.0490865926851,2.02814838086875
ENSG00000104059,-3.2341673103991,-3.16958247790731,-3.26630226180038
ENSG00000147234,-1.7871443139879,-1.77969425374958,-1.81244962450455
ENSG00000175315,2.77899512132152,2.77964064628963,2.75290078112574
ENSG00000256870,-4.61484772909098,-4.51940768502176,-4.64273317218275
ENSG00000077942,-2.86795761157264,-2.86274484067062,-2.89228305711821
ENSG00000214595,-1.40475656307463,-1.40373234417147,-1.43078394120998
ENSG00000204065,-4.22737877798163,-4.05406745863378,-4.2771710158847
ENSG00000197329,1.61015005613537,1.61046928368958,1.58708618101896
ENSG00000134853,-1.84265579502062,-1.8310134632101,-1.87060681449993
ENSG00000125798,-3.41411989392009,-3.35004058430728,-3.44206654801749
ENSG00000147408,-2.14152374030411,-2.14123009750191,-2.16519664522909
ENSG00000142661,1.74958996394457,1.74721494264525,1.73232340526435
ENSG00000255571,-2.00713901913637,-1.98202954335764,-2.03643128644459
ENSG00000236013,-2.13653145760104,-2.12329098216766,-2.1696764396407
ENSG00000230445,-1.7467415947176,-1.73141893706351,-1.77486125476934
ENSG00000130203,2.16397073579729,2.16380465901033,2.13961957796309
ENSG00000139304,-3.4255326970177,-3.33295955221866,-3.46047491705143
ENSG00000197565,-2.150337702465,-2.11842458953048,-2.18134810846915
ENSG00000218416,1.60685286451316,1.61769056425957,1.59067903034557
ENSG00000115226,2.25682308469386,2.25779786106845,2.23205332921266
ENSG00000152284,-1.62066732094771,-1.61821586875314,-1.64474447657585
ENSG00000182580,3.16272460663513,3.16083156784535,3.13796712340876
ENSG00000235770,2.22765581303197,2.23567170048792,2.21275999130754
ENSG00000139211,2.30410877376997,2.30477661729599,2.2802245466549
ENSG00000173930,2.23183847055071,2.24069789971598,2.21123282414622
ENSG00000136111,-2.0927094436038,-2.09181163397222,-2.11779644268059
ENSG00000152580,-4.04263467506431,-3.9718381601667,-4.07848032423641
ENSG00000228216,-2.00861815671734,-1.9997594091973,-2.04528148085489
ENSG00000079156,-1.44480973001277,-1.44588584019392,-1.46995765548825
ENSG00000162267,-1.49612867118457,-1.4871710460837,-1.52705760267891
ENSG00000138735,2.05518496581531,2.05563543944786,2.02955475518748
ENSG00000170006,1.70775418850762,1.70372507977746,1.68639743757098
ENSG00000161888,1.84886614441145,1.84759605379398,1.82979312495826
ENSG00000162873,5.28486824205055,5.26383466392489,5.26321056772001
ENSG00000186417,1.87496872053346,1.91852012235565,1.85167831901373
ENSG00000183248,3.16680300963254,3.16435389232347,3.14121286883614
ENSG00000249430,-2.63746736119094,-2.49945802422238,-2.68635121420939
ENSG00000107281,1.83489171488602,1.83460148162188,1.81083112436337
ENSG00000164764,-2.24975995880689,-2.24842058034027,-2.27543675055169
ENSG00000121211,1.66849940050181,1.65204889761343,1.65547326207916
ENSG00000260920,1.54882352177305,1.54647446357442,1.52736639556526
ENSG00000103253,2.00724733217827,2.00449274542084,1.98682170556704
ENSG00000166352,-1.9135214358197,-1.9128411736143,-1.93822900834468
ENSG00000148339,-1.36502302514994,-1.36474414619218,-1.38835797786289
ENSG00000139055,1.66294165397755,1.66327244676045,1.63837822718462
ENSG00000069535,-1.70590140598382,-1.7007938984677,-1.72978936869307
ENSG00000183578,-1.45087434604485,-1.44898951625876,-1.47592814373814
ENSG00000213937,3.01629160173554,2.99536597477089,2.9945120834454
ENSG00000168497,-1.52357211807589,-1.5227381936879,-1.54695727010299
ENSG00000102575,1.67088415359495,1.66777273515303,1.64700359699736
ENSG00000163060,-1.80316782798298,-1.7224237644509,-1.84445248741804
ENSG00000148408,-1.89637002008218,-1.85890810300219,-1.92860268442228
ENSG00000106688,-1.69321633982059,-1.68959511485003,-1.71703285226613
ENSG00000136110,-2.59714190641802,-2.3943285225347,-2.63170490734137
ENSG00000131094,3.15791478724401,3.18070062977137,3.14849838271943
ENSG00000109255,5.18323209210828,5.06245210913648,5.20128450975269
