"","logFC","logCPM","F","PValue","FDR"
"EDN2",0.664695105466239,1.32508301400163,3.90335696998895,0.049553215999845,0.0886243098747061
"SDK1",0.196266645839049,3.02156231476287,3.90320088381116,0.0495577280082893,0.0886243098747061
"ZNF865",-0.104020709814165,3.26285255244586,3.89858198777079,0.0496914453668383,0.0888550021661605
"MRRF",0.0818870771522011,5.0531045503644,3.89774933481812,0.0497155915674278,0.0888897412630225
"LY6G5C",0.123753635499994,3.61618751178391,3.89527749493475,0.0497873463639223,0.0890095881943217
"RPRD1B",0.0632305404647299,4.95092976479655,3.89406351677128,0.0498226271875367,0.0890642105673577
"USP29",-0.466289784397305,-1.9016576769646,3.89356595655412,0.0498370950512834,0.0890816203222389
"DUSP12",-0.0615423740488335,5.22833307834941,3.89186099080554,0.0498867053262966,0.0891618363317624
"INS-IGF2",-0.54382668750051,-3.89684719545201,7.41891722506009,0.0499673012438962,0.0892974120892246
"ZC3H12B",-0.118032351449689,0.713075728355915,3.88464446681758,0.0500972714040298,0.0895211913023254
"ZNF581",0.153651082969801,2.97270522210806,3.8837520644761,0.0501233758969281,0.0895592110022351
"ITGB5",0.143926997430829,6.48627330945828,3.88355793367989,0.0501290565161311,0.0895592110022351
"NOX3",-0.491351021952534,-3.66661417299146,3.88342966460572,0.0501328102780852,0.0895592110022351
"KATNB1",0.115970682708501,3.36432444617592,3.88249235869419,0.0501602493864473,0.0895997324048829
"RPL41",0.105758155004322,13.1967050428127,3.88230566812625,0.0501657165588011,0.0896010020417839
"FAM84B",-0.214325256845973,3.12795319911468,3.8813911387341,0.050192507424556,0.0896403540826494
"GNGT1",0.585104809135291,-3.52412235964129,3.88423380332937,0.0502037040158273,0.0896518510048492
"MAP7D2",0.492601459395145,-1.36654507315016,3.88063770470143,0.0502145904985469,0.0896627920200594
"BACH2",-0.301151902347797,0.900992900402465,3.87713924901922,0.0503172655473413,0.0898304320572755
"GSTM2",0.232358725433827,6.34870717176339,3.87711382664097,0.0503180124784144,0.0898304320572755
"DCAF8",-0.0847558299666555,7.40796213650407,3.87678142694424,0.0503277797507566,0.089839355154435
"SYNDIG1L",-0.324414720466179,1.34569127020452,3.87413657432395,0.0504055684179103,0.0899658263339333
"ZBTB17",-0.0988248045676368,5.70358829491494,3.874047850897,0.0504081801122553,0.0899658263339333
"TFCP2L1",-0.766086176316522,-2.98574465210128,3.87351598508036,0.0504238393260025,0.0899852486948878
"BTF3L4",0.0915141206196407,5.66389638016203,3.87276893889796,0.0504458426396554,0.0900159878417948
"ZNF717",-0.108735191699127,3.53129766270541,3.87189271826906,0.0504716636602501,0.0900535328690842
"ORAI1",-0.587655820884241,-2.12376284876691,3.86703561467855,0.0506150514195757,0.0903008181306911
"CDS1",-0.565327232080423,-2.24624677974953,3.86638532079643,0.0506342818234923,0.0903265720635367
"TENT5A",-0.182646045702835,3.0242501091203,3.86622017048104,0.050639166865939,0.0903267328302773
"TRHR",-0.526025357577403,-3.43104329365117,3.8659454644308,0.0506472936103765,0.0903326753486339
"DCT",0.445473421642679,-2.39617751083198,3.86360985037066,0.0507164452180642,0.090447448169828
"COL5A3",0.340764472363397,0.423480387008274,3.86317749947579,0.050729257061942,0.0904617327274577
"AC015688.4",0.602635127941755,-1.19385235286379,3.86243246692132,0.0507513426857983,0.0904925502617196
"GAPVD1",-0.0814314850484189,4.67451223646602,3.8617499307863,0.0507715846679137,0.0905200749549648
"RIPK1",-0.102276924336647,4.63233667728387,3.86133331719725,0.0507839444096726,0.0905335426127958
"ARRDC1",-0.130133619733081,5.52660794244584,3.86094281119034,0.0507955325245162,0.0905456322574599
"GPHA2",0.642360724021361,-1.69228443672106,3.86001367539679,0.0508231155984528,0.0905862287485716
"ZNF621",0.0705857978779642,3.59751707097796,3.85830513237124,0.05087387844909,0.0906681288764387
"PTGR2",-0.118721832606881,3.49247766372614,3.85770362286504,0.0508917628699756,0.090691422660543
"NR2F1",-0.181184301378636,5.48350793799618,3.85704832992848,0.0509112540352812,0.0907175750583264
"IL4R",-0.173400071395879,7.12870309899251,3.85670341960573,0.0509215163126609,0.0907209312316323
"RLN1",0.265970001611602,-0.910301051569429,3.85666131455817,0.0509227692347001,0.0907209312316323
"TAS1R1",-0.433062624742576,-1.72878693752047,3.85598106128572,0.0509430161192125,0.0907484196362861
"DMD",0.119661984974315,3.95557581574755,3.85442220837243,0.0509894457789663,0.0908225396732381
"ZNF628",-0.226098578871949,1.29361423499218,3.85379909286541,0.0510080175781652,0.090847029889144
