,Data,N,Out,DEA,FDR,logFC,median_deg,median_deg_adj,median_mcc,median_mcc0,median_mcc0_adj,median_mcc_adj,median_prec,median_prec0,median_prec0_adj,median_prec_adj,median_rec,median_rec_adj,median_rep,median_rep_adj,id
478,LIHC,15,None,edgerqlf,0.05,1,538.5,538.5,0.625927569067098,0.625927569067098,0.625927569067098,0.625927569067098,0.9507408622778675,0.9507408622778675,0.9507408622778675,0.9507408622778675,0.43540051679586567,0.43540051679586567,0.46647329700158513,0.46647329700158513,39
479,LIHC,15,None,edgerqlf,0.1,1,742.5,742.5,0.6772667116180331,0.6772667116180331,0.6772667116180331,0.6772667116180331,0.9228881547899953,0.9228881547899953,0.9228881547899953,0.9228881547899953,0.5303149606299213,0.5303149606299213,0.4843912422037422,0.4843912422037422,39
480,LUAD,3,None,DESeq2,0.001,1,227.0,227.0,0.306940516036131,0.306940516036131,0.306940516036131,0.306940516036131,0.892785532653704,0.892785532653704,0.892785532653704,0.892785532653704,0.11418481459682166,0.11418481459682166,0.14827239366875938,0.14827239366875938,40
481,LUAD,3,None,DESeq2,0.01,1,367.0,367.0,0.3655854104278279,0.3655854104278279,0.3655854104278279,0.3655854104278279,0.8982720446669235,0.8982720446669235,0.8982720446669235,0.8982720446669235,0.17168228909718797,0.17168228909718797,0.1911954704362365,0.1911954704362365,40
482,LUAD,3,None,DESeq2,0.05,1,567.5,567.5,0.4234924042907282,0.4234924042907282,0.4234924042907282,0.4234924042907282,0.8953207182153438,0.8953207182153438,0.8953207182153438,0.8953207182153438,0.22782608695652173,0.22782608695652173,0.23109778983990414,0.23109778983990414,40
483,LUAD,3,None,DESeq2,0.1,1,691.5,691.5,0.4530778295081837,0.4530778295081837,0.4530778295081837,0.4530778295081837,0.8900531286894924,0.8900531286894924,0.8900531286894924,0.8900531286894924,0.25757575757575757,0.25757575757575757,0.24981025990302236,0.24981025990302236,40
484,LUAD,3,None,edgeR LRT,0.001,1,200.5,200.5,0.27639891473031175,0.27639891473031175,0.27639891473031175,0.27639891473031175,0.8940074696020892,0.8940074696020892,0.8940074696020892,0.8940074696020892,0.09799882283696293,0.09799882283696293,0.1126169859179568,0.1126169859179568,40
485,LUAD,3,None,edgeR LRT,0.01,1,429.0,429.0,0.3740563266605915,0.3740563266605915,0.3740563266605915,0.3740563266605915,0.8883498820353011,0.8883498820353011,0.8883498820353011,0.8883498820353011,0.18376911692155895,0.18376911692155895,0.1690245272420895,0.1690245272420895,40
486,LUAD,3,None,edgeR LRT,0.05,1,744.0,744.0,0.46172519723138794,0.46172519723138794,0.46172519723138794,0.46172519723138794,0.8571539086020918,0.8571539086020918,0.8571539086020918,0.8571539086020918,0.27956521739130435,0.27956521739130435,0.224273125496324,0.224273125496324,40
487,LUAD,3,None,edgeR LRT,0.1,1,984.5,984.5,0.5058217169881145,0.5058217169881145,0.5058217169881145,0.5058217169881145,0.8456739047789431,0.8456739047789431,0.8456739047789431,0.8456739047789431,0.34664209664209666,0.34664209664209666,0.250882139525241,0.250882139525241,40
