,Data,N,Out,DEA,FDR,logFC,median_deg,median_deg_method,median_mcc,median_mcc0,median_mcc0_method,median_mcc_method,median_prec,median_prec0,median_prec0_method,median_prec_method,median_rec,median_rec_method,median_rep,median_rep_method,id,lfc_mode,isSynthetic
423,LMAB,3,None,edgeR LRT,0.05,1,157.0,157.0,0.0802720773017904,0.0802720773017904,0.0887106071404563,0.0887106071404563,0.208945641318305,0.208945641318305,0.242736899266902,0.242736899266902,0.0482866043613707,0.0491452991452991,0.0227272727272727,0.0227272727272727,70,post_hoc,False
424,LMAB,3,None,edgeR QLF,0.05,0,0.0,0.0,-0.0002110719362167,0.0,0.0,0.007192616716929,0.5,0.0,0.0,0.8181818181818182,0.0,0.0,0.0,0.0,70,post_hoc,False
425,LMAB,3,None,edgeR QLF,0.05,1,0.0,0.0,-0.0014183973726172,0.0,0.0,-0.0014857398966319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,post_hoc,False
426,LMAB,4,None,DESeq2 Wald,0.05,0,321.5,321.5,0.0286850898094495,0.0286850898094495,0.0284065215307397,0.0284065215307397,0.6385792407193185,0.6385792407193185,0.6628992628992629,0.6628992628992629,0.0240379433006359,0.0240208877284595,0.0339560021181864,0.0339560021181864,71,post_hoc,False
427,LMAB,4,None,DESeq2 Wald,0.05,1,321.5,321.5,0.1277762979760002,0.1277762979760002,0.1270657584722757,0.1270657584722757,0.218065937893524,0.218065937893524,0.2231618510688278,0.2231618510688278,0.1098130841121495,0.1111963190184049,0.0339714233376076,0.0339714233376076,71,post_hoc,False
428,LMAB,4,None,edgeR LRT,0.05,0,132.5,132.5,0.0206037651417058,0.0206037651417058,0.0272097939155423,0.0272097939155423,0.6477481617647058,0.6477481617647058,0.724937343358396,0.724937343358396,0.0083539937479788,0.0087427144046627,0.0157480314960629,0.0157480314960629,71,post_hoc,False
429,LMAB,4,None,edgeR LRT,0.05,1,132.5,132.5,0.1010986903197423,0.1010986903197423,0.1115988135471332,0.1115988135471332,0.2491134751773049,0.2491134751773049,0.2772027887967304,0.2772027887967304,0.0451713395638629,0.047008547008547,0.0157480314960629,0.0157480314960629,71,post_hoc,False
430,LMAB,4,None,edgeR QLF,0.05,0,0.0,0.0,0.0072673974159459,0.0,0.0,0.007192616716929,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,71,post_hoc,False
431,LMAB,4,None,edgeR QLF,0.05,1,0.0,0.0,0.0387651095014678,0.0,0.0,0.0402598941675363,0.7083333333333333,0.0,0.0,0.7083333333333333,0.0,0.0,0.0,0.0,71,post_hoc,False
432,LMAB,5,None,DESeq2 Wald,0.05,0,267.5,267.5,0.0460268812967587,0.0460268812967587,0.0476934985214444,0.0476934985214444,0.6880864799939945,0.6880864799939945,0.7077271203486423,0.7077271203486423,0.0201573784628651,0.0202088772845953,0.02542862741256,0.02542862741256,72,post_hoc,False
433,LMAB,5,None,DESeq2 Wald,0.05,1,266.5,266.5,0.150775996064793,0.150775996064793,0.1511455608857416,0.1511455608857416,0.2579765394804799,0.2579765394804799,0.2604372187728744,0.2604372187728744,0.1121495327102803,0.1127300613496932,0.0258700363311874,0.0258700363311874,72,post_hoc,False
434,LMAB,5,None,edgeR LRT,0.05,0,94.0,94.0,0.025980742874255,0.025980742874255,0.0315847020358966,0.0315847020358966,0.7169633687093461,0.7169633687093461,0.7598076923076923,0.7598076923076923,0.0072760590708203,0.0074937552039966,0.0110395677608059,0.0110395677608059,72,post_hoc,False
435,LMAB,5,None,edgeR LRT,0.05,1,94.0,94.0,0.1012317390041913,0.1012317390041913,0.1060424318032572,0.1060424318032572,0.304741888874294,0.304741888874294,0.3282974554047433,0.3282974554047433,0.0420560747663551,0.0413105413105413,0.0110395677608059,0.0110395677608059,72,post_hoc,False
436,LMAB,5,None,edgeR QLF,0.05,0,0.0,0.0,0.0096178045565282,0.0,0.0,0.0094488356683182,0.9558359621451104,0.0,0.0,0.9629629629629628,0.0,0.0,0.0,0.0,72,post_hoc,False
437,LMAB,5,None,edgeR QLF,0.05,1,0.0,0.0,0.0387651095014678,0.0,0.0,0.0370080453454512,0.4,0.0,0.0,0.6,0.0,0.0,0.0,0.0,72,post_hoc,False
438,LMAB,6,None,DESeq2 Wald,0.05,0,312.0,312.0,0.0596032634292668,0.0596032634292668,0.0585432914163431,0.0585432914163431,0.7459057697152935,0.7459057697152935,0.7601169590643275,0.7601169590643275,0.0251158779777945,0.0246997389033942,0.0311334983617872,0.0311334983617872,73,post_hoc,False
439,LMAB,6,None,DESeq2 Wald,0.05,1,298.5,298.5,0.1726951367218097,0.1726951367218097,0.1730869519930725,0.1730869519930725,0.2795245839699045,0.2795245839699045,0.2820626550358944,0.2820626550358944,0.1292834890965732,0.1280674846625766,0.0323489773267797,0.0323489773267797,73,post_hoc,False
440,LMAB,6,None,edgeR LRT,0.05,0,128.5,128.5,0.0347226443554492,0.0346710223449164,0.0404213819413145,0.0411620907582733,0.7560975609756098,0.7560015363933167,0.8090172239108409,0.8095238095238095,0.009000754554274,0.0090549542048293,0.0129870129870129,0.0129870129870129,73,post_hoc,False
